"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM205","# Days PM10"
"06001","Alameda County, CA","365","189","162","9","4","1","205","76","49","0","11","108","0","246","0"
"06005","Amador County, CA","362","291","67","4","0","0","136","64","38","0","0","362","0","0","0"
"06007","Butte County, CA","365","152","189","23","1","0","154","94","57","0","0","215","0","148","2"
"06009","Calaveras County, CA","354","169","171","12","2","0","172","87","51","0","0","220","0","133","1"
"06011","Colusa County, CA","365","274","83","7","1","0","193","65","40","0","0","197","0","135","33"
"06013","Contra Costa County, CA","365","222","131","8","4","0","169","72","46","0","1","131","0","233","0"
"06015","Del Norte County, CA","298","270","26","0","1","1","226","49","20","0","0","0","0","298","0"
"06017","El Dorado County, CA","362","235","96","31","0","0","147","100","45","0","0","325","0","6","31"
"06019","Fresno County, CA","365","102","143","93","26","1","207","140","74","0","2","234","0","116","13"
"06021","Glenn County, CA","365","284","74","7","0","0","150","59","43","0","0","201","0","120","44"
"06023","Humboldt County, CA","364","315","40","4","4","1","217","57","35","0","0","256","0","96","12"
"06025","Imperial County, CA","365","112","212","36","2","3","331","104","61","0","2","167","0","107","89"
"06027","Inyo County, CA","365","204","136","16","3","6","2060","87","48","0","0","286","0","25","54"
"06029","Kern County, CA","365","76","150","115","24","0","197","140","84","0","0","250","0","102","13"
"06031","Kings County, CA","365","95","197","52","21","0","181","125","70","0","0","197","0","122","46"
"06033","Lake County, CA","362","350","10","1","1","0","166","44","35","0","0","350","0","10","2"
"06037","Los Angeles County, CA","365","38","207","74","38","8","224","156","77","0","27","167","0","171","0"
"06039","Madera County, CA","365","142","175","42","6","0","166","105","58","0","1","238","0","110","16"
"06041","Marin County, CA","365","290","67","5","3","0","161","57","38","0","10","142","0","213","0"
"06043","Mariposa County, CA","365","190","135","31","9","0","179","101","49","0","0","253","0","112","0"
"06045","Mendocino County, CA","365","273","84","7","1","0","188","66","39","0","0","177","0","184","4"
"06047","Merced County, CA","364","162","168","31","3","0","158","100","54","0","0","209","0","153","2"
"06051","Mono County, CA","365","303","37","5","1","19","3439","63","18","0","0","0","0","29","336"
"06053","Monterey County, CA","365","304","60","1","0","0","121","54","39","0","0","225","0","78","62"
"06055","Napa County, CA","364","229","121","7","5","2","249","67","4305","0","1","103","0","260","0"
"06057","Nevada County, CA","365","200","84","62","19","0","185","133","49","0","0","353","0","12","0"
"06059","Orange County, CA","365","148","185","30","2","0","151","97","54","0","18","199","0","145","3"
"06061","Placer County, CA","365","210","121","32","2","0","156","100","47","0","1","294","0","69","1"
"06063","Plumas County, CA","351","221","105","17","8","0","179","89","35","0","0","0","0","351","0"
"06065","Riverside County, CA","365","52","162","100","43","8","366","161","87","0","1","229","0","94","41"
"06067","Sacramento County, CA","365","158","172","33","2","0","164","100","56","0","1","198","0","161","5"
"06069","San Benito County, CA","365","298","65","2","0","0","117","64","40","0","0","331","0","31","3"
"06071","San Bernardino County, CA","365","31","186","74","51","23","233","185","84","0","17","220","1","111","16"
"06073","San Diego County, CA","365","83","220","56","6","0","174","112","65","0","1","238","0","126","0"
"06075","San Francisco County, CA","365","276","82","7","0","0","136","63","38","0","41","132","0","192","0"
"06077","San Joaquin County, CA","365","185","147","33","0","0","146","100","50","0","3","194","0","153","15"
"06079","San Luis Obispo County, CA","365","143","214","8","0","0","133","80","54","0","0","206","0","115","44"
"06081","San Mateo County, CA","365","294","64","4","3","0","154","58","37","0","15","162","0","188","0"
"06083","Santa Barbara County, CA","365","247","100","7","9","2","281","74","44","0","0","249","0","101","15"
"06085","Santa Clara County, CA","365","240","113","9","3","0","182","74","44","0","11","197","0","157","0"
"06087","Santa Cruz County, CA","365","312","49","4","0","0","130","56","35","0","0","224","0","141","0"
"06089","Shasta County, CA","365","263","88","12","2","0","157","84","44","0","0","353","0","12","0"
"06093","Siskiyou County, CA","225","202","19","3","1","0","163","51","26","0","0","138","0","87","0"
"06095","Solano County, CA","365","244","111","5","5","0","175","71","44","0","1","194","0","170","0"
"06097","Sonoma County, CA","365","311","49","2","3","0","165","55","38","0","0","242","0","121","2"
"06099","Stanislaus County, CA","365","156","146","55","8","0","185","112","58","0","1","225","0","131","8"
"06101","Sutter County, CA","365","181","175","9","0","0","130","82","51","0","0","166","0","195","4"
"06103","Tehama County, CA","365","262","94","6","3","0","167","77","40","0","0","297","0","68","0"
"06105","Trinity County, CA","203","100","92","6","1","4","498","90","51","0","0","0","0","203","0"
"06107","Tulare County, CA","365","93","145","96","31","0","168","147","80","0","1","232","0","123","9"
"06109","Tuolumne County, CA","362","231","106","25","0","0","143","93","44","0","0","362","0","0","0"
"06111","Ventura County, CA","365","164","168","20","8","5","537","100","53","0","0","241","0","116","8"
"06113","Yolo County, CA","365","265","93","6","1","0","153","71","43","0","1","265","0","98","1"
